<usuário>/<repositório>,ID,Número,Titulo,Nº de comentários,Data de criação,Data da última atualização,Data de conclusão,Nº de perguntas no SO,Nº de respostas no SO,Nº de visualizações no SO
freeCodeCamp/freeCodeCamp,MDU6SXNzdWUyODY4MzI1NzI=,16445,Creating freeCodeCamp's CSS Style guide,47,2018-01-08T18:02:20Z,2020-10-15T11:11:54Z,-,0,0,0
freeCodeCamp/freeCodeCamp,MDU6SXNzdWU3MTA2MzY0Nzk=,39721,Create single source of user stories and notes for back-end Node certification projects,33,2020-09-28T23:12:43Z,2020-11-11T19:57:56Z,-,0,0,0
freeCodeCamp/freeCodeCamp,MDU6SXNzdWU2MTEyNTc3MDA=,38711,Create a new Camperbot for the official discord server,29,2020-05-02T19:27:00Z,2020-05-14T18:06:37Z,-,0,0,0
freeCodeCamp/freeCodeCamp,MDU6SXNzdWU1OTA0MDk1MzU=,38474,freeCodeCamp JavaScript Console not responding appropriately,26,2020-03-30T16:05:21Z,2020-08-11T10:32:38Z,-,0,0,0
freeCodeCamp/freeCodeCamp,MDU6SXNzdWU0OTU5MjI1MjY=,36819,Light/Dark toggle button on the nav,26,2019-09-19T17:06:58Z,2020-10-06T11:29:01Z,-,0,0,0
vuejs/vue,MDU6SXNzdWUyNzkzNTc4NzE=,7186,Establish a standard way to document component and its props,56,2017-12-05T12:30:41Z,2020-08-19T13:29:30Z,-,0,0,0
vuejs/vue,MDU6SXNzdWUyNzU1MTk2MDI=,7088,Allow more than 1 root element for Template,55,2017-11-20T22:23:07Z,2018-09-15T00:57:02Z,-,0,0,0
vuejs/vue,MDU6SXNzdWUxODA3NTg2ODA=,3842,$refs should be reactive to be able to use them in computed properties,50,2016-10-03T22:02:47Z,2020-09-06T17:59:48Z,-,0,0,0
vuejs/vue,MDU6SXNzdWUzNTQ2NjQzMzg=,8721,Property 'xxx' does not exist on type CombinedVueInstance ?,42,2018-08-28T10:18:12Z,2020-11-02T19:46:20Z,-,0,0,0
vuejs/vue,MDU6SXNzdWUzMjM3MjQ5NDc=,8193,Webassembly integration. Split the core into two parts.,31,2018-05-16T17:56:01Z,2019-12-30T11:09:55Z,-,0,0,0
EbookFoundation/free-programming-books,MDU6SXNzdWU3MzE2MTI5ODk=,4853,volunteers needed to clean up the backlog,18,2020-10-28T16:43:57Z,2020-11-09T20:31:49Z,-,0,0,0
EbookFoundation/free-programming-books,MDU6SXNzdWU3Mjc2NjA1MDI=,4637,Filipino translations page required.,10,2020-10-22T19:24:40Z,2020-10-26T17:05:34Z,-,0,0,0
EbookFoundation/free-programming-books,MDU6SXNzdWU3MjE1MDk2NzU=,4082,separate page for cheatsheets?,8,2020-10-14T14:26:33Z,2020-10-30T09:32:41Z,-,0,0,0
EbookFoundation/free-programming-books,MDU6SXNzdWU0MzgwMzE2MjE=,3233,url_checker,7,2019-04-28T08:45:53Z,2019-12-01T16:32:27Z,-,0,0,0
EbookFoundation/free-programming-books,MDU6SXNzdWU3MjQzODY5MDU=,4416,Travis Linting Errors as PR Comments,6,2020-10-19T08:16:15Z,2020-11-01T15:02:23Z,-,0,0,0
facebook/react,MDU6SXNzdWUzNzQ1ODc1ODk=,13991,Hooks + multiple instances of React,278,2018-10-27T00:34:08Z,2020-11-09T19:55:41Z,-,4,8,5564
facebook/react,MDU6SXNzdWUzNjM3OTQwNA==,1739,Support asynchronous server rendering (waiting for data before rendering),139,2014-06-24T12:36:38Z,2020-07-24T07:51:30Z,-,0,0,0
