<usuário>/<repositório>,Nº de estrelas,Linguagem principal,Nº de issues,Nº de issues abertas,Nº de issues fechadas,Proporção de issues fechadas
freeCodeCamp/freeCodeCamp,316615,JavaScript,14897,217,14680,0.99
vuejs/vue,175075,JavaScript,9240,332,8908,0.96
EbookFoundation/free-programming-books,164446,N/A,508,34,474,0.93
facebook/react,158858,JavaScript,9751,494,9257,0.95
tensorflow/tensorflow,150022,C++,28666,3888,24778,0.86
twbs/bootstrap,145181,JavaScript,19716,320,19396,0.98
sindresorhus/awesome,143896,N/A,263,17,246,0.94
jwasham/coding-interview-university,142066,N/A,177,29,148,0.84
kamranahmedse/developer-roadmap,134890,N/A,486,41,445,0.92
getify/You-Dont-Know-JS,129601,N/A,857,76,781,0.91
ohmyzsh/ohmyzsh,118919,Shell,3589,198,3391,0.94
CyC2018/CS-Notes,114465,Java,445,41,404,0.91
donnemartin/system-design-primer,112018,Python,140,87,53,0.38
flutter/flutter,106519,Dart,46051,7886,38165,0.83
microsoft/vscode,106004,TypeScript,100418,4014,96404,0.96
airbnb/javascript,101318,JavaScript,1034,76,958,0.93
public-apis/public-apis,99604,Python,157,4,153,0.97
